qid,type,n_flags
UNA-108,unanswerable,15
RSN-76,reasoning,14
COH-24,cohort,13
RSN-56,reasoning,12
COH-29,cohort,11
RSN-54,reasoning,10
SL-14,simple-lookup,9
COH-31,cohort,9
TMP-12,temporal,8
COH-40,cohort,7
SL-160,simple-lookup,6
MH-53,multi-hop,6
COH-4,cohort,6
COH-37,cohort,4
SL-BRIDGE-4,simple-lookup,4
TMP-137,temporal,4
SL-13,simple-lookup,4
TMP-141,temporal,4
COH-32,cohort,4
COH-28,cohort,4
TMP-16,temporal,4
TMP-27,temporal,4
COH-41,cohort,3
COH-26,cohort,3
COH-48,cohort,3
COH-25,cohort,3
TMP-4,temporal,3
SL-BRIDGE-10,simple-lookup,3
MH-130,multi-hop,2
SL-156,simple-lookup,2
MH-86,multi-hop,2
SL-161,simple-lookup,2
MH-136,multi-hop,2
COH-49,cohort,2
COH-42,cohort,2
COH-30,cohort,2
COH-13,cohort,2
COH-43,cohort,2
SL-BRIDGE-11,simple-lookup,1
SL-BRIDGE-2,simple-lookup,1
SL-BRIDGE-3,simple-lookup,1
SL-157,simple-lookup,1
RSN-55,reasoning,1
TMP-140,temporal,1
COH-1,cohort,1
RSN-53,reasoning,1
RSN-51,reasoning,1
COH-11,cohort,1
COH-12,cohort,1
COH-23,cohort,1
COH-27,cohort,1
COH-33,cohort,1
COH-34,cohort,1
COH-45,cohort,1
COH-47,cohort,1
COH-51,cohort,1
COH-52,cohort,1
COH-58,cohort,1
COH-60,cohort,1
MH-12,multi-hop,1
COH-10,cohort,1
MH-17,multi-hop,1
MH-62,multi-hop,1
MH-92,multi-hop,1
RSN-14,reasoning,1
RSN-26,reasoning,1
UNA-110,unanswerable,1
